id,name,urbanCenter,capital,pop2015Cat,lat,lon
215,Poza Rica,1,0,>100k,20.53,-97.45
218,Xalapa,1,0,>500k,19.54,-96.91
219,Túxpam,1,0,>100k,20.95,-97.41
221,Tampico,1,0,>500k,22.27,-97.86
222,Altamira,1,0,>100k,22.39,-97.91
225,Veracruz,1,0,>500k,19.17,-96.17
230,Ciudad Acuña,1,0,>100k,29.32,-100.96
231,Piedras Negras,1,0,>100k,28.7,-100.52
234,Nuevo Laredo,1,0,>500k,27.5,-99.51
237,Reynosa,1,0,>500k,26.04,-98.3
239,McAllen,1,0,>250k,26.22,-98.24
241,Spokane,1,0,>250k,47.67,-117.35
243,Minatitlán,1,0,>100k,17.99,-94.56
244,Coatzacoalcos,1,0,>250k,18.14,-94.45
245,Matamoros,1,0,>250k,25.85,-97.51
246,Brownsville,1,0,>100k,25.93,-97.48
247,Lubbock,1,0,>100k,33.55,-101.9
249,Tuxtla Gutiérrez,1,0,>500k,16.75,-93.12
250,San Antonio,1,0,>500k,29.49,-98.52
251,Cárdenas,1,0,>100k,18,-93.38
252,Tapachula,1,0,>250k,14.9,-92.27
253,Corpus Christi,1,0,>100k,27.74,-97.4
254,San Cristóbal,1,0,>100k,16.73,-92.64
255,Villahermosa,1,0,>500k,17.99,-92.95
257,Pueblo,1,0,>100k,38.26,-104.62
259,Coatepeque,1,0,>100k,14.7,-91.87
260,Amarillo,1,0,>100k,35.19,-101.86
261,San Pedro Sacatepéquez [San Marcos],1,0,>100k,14.96,-91.79
262,Comitán,1,0,>100k,16.24,-92.14
265,Colorado Springs,1,0,>250k,38.86,-104.78
267,Mazatenango,1,0,>100k,14.53,-91.51
268,Quetzaltenango,1,0,>100k,14.86,-91.53
271,Huehuetenango,1,0,>100k,15.35,-91.46
272,Denver,1,0,>500k,39.73,-104.98
273,Austin,1,0,>500k,30.37,-97.74
278,Santa Cruz del Quiché,1,0,>100k,15.03,-91.15
280,Santa Cruz Barillas,1,0,>100k,15.81,-91.31
282,Escuintla,1,0,>100k,14.3,-90.78
283,Chimaltenango,1,0,>100k,14.66,-90.82
288,Guatemala City,1,1,>500k,14.62,-90.53
289,Killeen,1,0,>100k,31.1,-97.72
290,Ciudad del Carmen,1,0,>100k,18.65,-91.81
294,San José Pinula,1,0,>100k,14.54,-90.45
295,Fort Collins,1,0,>100k,40.55,-105.07
299,Greeley,1,0,>100k,40.41,-104.72
301,Cobán,1,0,>250k,15.47,-90.38
303,San Pedro Carchá,1,0,>100k,15.48,-90.32
306,Jalapa,1,0,>100k,14.64,-89.99
308,Sonsonate,1,0,>100k,13.74,-89.72
309,Waco,1,0,>100k,31.53,-97.17
311,Santa Ana,1,0,>100k,13.98,-89.56
315,Houston,1,0,>500k,29.78,-95.41
316,Lourdes,1,0,>100k,13.76,-89.37
318,College Station,1,0,>100k,30.62,-96.33
321,San Salvador,1,1,>500k,13.71,-89.2
323,Dallas,1,0,>500k,32.86,-96.97
325,Flores,1,0,>100k,16.92,-89.91
329,Campeche,1,0,>100k,19.84,-90.52
333,Denton,1,0,>100k,33.19,-97.11
338,San Miguel,1,0,>100k,13.48,-88.18
345,San Pedro Sula,1,0,>500k,15.5,-87.98
349,Oklahoma City,1,0,>500k,35.46,-97.52
350,Mérida,1,0,>500k,20.97,-89.61
353,El Progreso,1,0,>100k,15.4,-87.8
355,Chinandega,1,0,>100k,12.63,-87.13
357,Choluteca,1,0,>100k,13.3,-87.18
359,Tegucigalpa,1,1,>500k,14.1,-87.22
360,León,1,0,>100k,12.44,-86.88
362,Calgary,1,0,>500k,51.04,-114.07
363,Chetumal,1,0,>100k,18.52,-88.3
367,Managua,1,1,>500k,12.15,-86.27
370,Esteli,1,0,>100k,13.09,-86.36
371,Masaya,1,0,>100k,11.98,-86.1
373,La Ceiba,1,0,>100k,15.77,-86.81
376,Jinotega,1,0,>100k,13.09,-86
377,Matagalpa,1,0,>100k,12.93,-85.93
379,Shreveport,1,0,>100k,32.48,-93.73
383,Wichita,1,0,>250k,37.68,-97.31
385,Tulsa,1,0,>250k,36.1,-95.91
390,Playa del Carmen,1,0,>100k,20.65,-87.07
392,San José,1,1,>500k,9.94,-84.09
394,Cancún,1,0,>500k,21.16,-86.86
397,Baton Rouge,1,0,>250k,30.43,-91.1
398,Cartago,1,0,>100k,9.85,-83.92
400,New Orleans,1,0,>500k,29.96,-90.1
403,Edmonton,1,0,>500k,53.54,-113.49
404,David,1,0,>100k,8.41,-82.43
407,Little Rock,1,0,>100k,34.76,-92.3
409,Lincoln,1,0,>100k,40.8,-96.67
411,Kansas City,1,0,>500k,39.04,-94.6
413,Springfield,1,0,>100k,37.19,-93.29
414,Santa Elena,1,0,>100k,-2.23,-80.92
416,Manta,1,0,>250k,-0.97,-80.71
417,Omaha,1,0,>500k,41.24,-96.06
418,Sullana,1,0,>100k,-4.9,-80.69
420,Portoviejo,1,0,>100k,-1.05,-80.47
421,Piura,1,0,>250k,-5.19,-80.64
423,Mobile,1,0,>100k,30.69,-88.09
427,Guayaquil,1,0,>500k,-2.16,-79.91
430,Machala,1,0,>100k,-3.26,-79.96
433,Pinar del Rio,1,0,>100k,22.42,-83.7
